Sujeto,Condicion,Canal,Potencia_Mu,Potencia_Beta
S006,imaginacion,Cz,2.3788446435250552e-07,2.1001996545828985e-07
S007,real,C3,2.560401250003498e-06,2.7538615909637294e-07
S007,real,C4,1.7923750490810536e-06,1.9428813194812402e-07
S007,real,Cz,2.384840994801051e-06,2.2463882155055457e-07
S007,imaginacion,C3,2.843939362874227e-06,2.718120452638166e-07
S007,imaginacion,C4,1.7921916961564414e-06,1.957095773471764e-07
S007,imaginacion,Cz,2.414231098664498e-06,2.3413420733942514e-07
S008,real,C3,8.00222486155333e-07,1.3645365108628777e-07
S008,real,C4,7.580565443567744e-07,1.219085159448428e-07
S008,real,Cz,9.073582484906662e-07,1.3057814616714686e-07
S008,imaginacion,C3,7.586762479735842e-07,1.5300053119467496e-07
S008,imaginacion,C4,7.346563517925509e-07,1.3183891984023235e-07
S008,imaginacion,Cz,8.652583658869584e-07,1.4692335050293015e-07
S009,real,C3,2.0734380948118644e-06,1.1364561801408107e-06
S009,real,C4,1.868891021701005e-06,1.3887358389087786e-06
S009,real,Cz,2.2764922990939485e-06,8.33607224216463e-07
S009,imaginacion,C3,1.9595846776214393e-06,1.0401045060294882e-06
S009,imaginacion,C4,1.7357325154770831e-06,1.243982742799329e-06
S009,imaginacion,Cz,2.1619849494514636e-06,8.218422929005604e-07
S010,real,C3,2.652506349349569e-06,7.065493739279486e-07
S010,real,C4,2.201647829383906e-06,5.411461583736346e-07
S010,real,Cz,2.7609335381468247e-06,6.609469079341654e-07
S010,imaginacion,C3,2.5152792829886385e-06,6.728112307294333e-07
S010,imaginacion,C4,1.9635234522847838e-06,5.018761754966423e-07
S010,imaginacion,Cz,2.5817464881066117e-06,6.505769495536999e-07
S011,real,C3,2.4258739629502526e-07,1.399777471920816e-07
S011,real,C4,2.053105809985145e-07,1.1454885049167604e-07
S011,real,Cz,2.8347120203252977e-07,1.3999282331606968e-07
S011,imaginacion,C3,2.439184293564436e-07,1.0974351417188525e-07
S011,imaginacion,C4,2.1892208905842903e-07,9.280394991919235e-08
S011,imaginacion,Cz,3.087032438611346e-07,1.1453683571900741e-07
S012,real,C3,4.103733822458595e-07,1.5000066441663845e-07
S012,real,C4,3.7678507080256873e-07,1.1720751742604757e-07
S012,real,Cz,4.5509813132122797e-07,1.2313182806789176e-07
S012,imaginacion,C3,4.0300234233292775e-07,1.4654812648634488e-07
S012,imaginacion,C4,4.2542892726594975e-07,1.111849825525327e-07
S012,imaginacion,Cz,4.215898565313391e-07,1.1922993743347522e-07
S013,real,C3,2.950564339871333e-06,1.8172419034007936e-06
S013,real,C4,1.7458852124997139e-06,1.1101425798325861e-06
S013,real,Cz,2.6807521982022925e-06,1.305472435549392e-06
S013,imaginacion,C3,3.019073481536805e-06,1.6465401514064842e-06
S013,imaginacion,C4,2.0603980696872862e-06,1.1787057547972439e-06
S013,imaginacion,Cz,3.30377666127106e-06,1.3963037080011594e-06
S014,real,C3,1.7830398409200032e-06,2.8707599399400055e-07
S014,real,C4,1.3509991061518732e-06,2.2631740124538544e-07
S014,real,Cz,1.7653041555169059e-06,2.451938196876939e-07
S014,imaginacion,C3,2.224451537523158e-06,2.925387385685398e-07
S014,imaginacion,C4,1.8151855872168374e-06,2.426714448942774e-07
S014,imaginacion,Cz,2.4093914605960326e-06,2.535372859984789e-07
S015,real,C3,3.420146683175178e-06,1.89553701504935e-06
S015,real,C4,2.4172225676649367e-06,1.4714670939807762e-06
S015,real,Cz,3.1942060953846517e-06,1.704343173864358e-06
S015,imaginacion,C3,3.68258538252765e-06,1.675660045047986e-06
S015,imaginacion,C4,2.6982078074904426e-06,1.2823425829898038e-06
S015,imaginacion,Cz,3.536704146249571e-06,1.5564449876656615e-06
S016,real,C3,8.25452017004255e-07,2.2926384136660056e-07
S016,real,C4,6.516082317568422e-07,1.945273030128217e-07
S016,real,Cz,8.613842015540963e-07,2.2421565344864168e-07
S016,imaginacion,C3,1.069146739078491e-06,2.4090970940543466e-07
S016,imaginacion,C4,9.311020196507856e-07,2.2416444531182795e-07
S016,imaginacion,Cz,1.1541437247231079e-06,2.452141920389905e-07
S017,real,C3,2.3829907694267887e-06,1.1480803436723979e-06
S017,real,C4,2.0847817747258345e-06,9.669081010752585e-07
S017,real,Cz,2.4586292827766947e-06,6.869877165562765e-07
S017,imaginacion,C3,3.540874630103332e-06,2.095093595221364e-06
S017,imaginacion,C4,3.0015326874944475e-06,1.2040409432931835e-06
S017,imaginacion,Cz,3.555761539653159e-06,7.950820584042627e-07
S018,real,C3,9.495158633229133e-08,5.055912583998861e-08
S018,real,C4,8.055039927004924e-08,4.8546773971749e-08
S018,real,Cz,9.483570479523164e-08,4.8036586076654426e-08
S018,imaginacion,C3,9.251648703973015e-08,5.2944675442970293e-08
S018,imaginacion,C4,8.097353708654638e-08,5.441784855717593e-08
S018,imaginacion,Cz,9.679107730777809e-08,5.4214469862294217e-08
S019,real,C3,1.8455371299180809e-06,8.297777347573613e-07
S019,real,C4,1.057510564789937e-06,5.829463111633285e-07
S019,real,Cz,1.5904369388655686e-06,7.767160395574709e-07
S019,imaginacion,C3,2.0547435713667693e-06,7.703999682338087e-07
S019,imaginacion,C4,1.2395200512397742e-06,6.350149309949201e-07
S019,imaginacion,Cz,1.8292093599634531e-06,7.392141890566026e-07
S020,real,C3,1.0220876887187305e-07,3.2891238248910183e-08
S020,real,C4,6.717327626474303e-08,2.348840375746746e-08
S020,real,Cz,1.0748667716175696e-07,3.2147187261945654e-08
S020,imaginacion,C3,1.0288145934444251e-07,3.608225543825663e-08
S020,imaginacion,C4,7.821019009570514e-08,2.5738871586323993e-08
S020,imaginacion,Cz,1.2374312938000753e-07,3.679146228127162e-08
S021,real,C3,6.535864259865323e-07,2.5950979402770927e-07
S021,real,C4,4.4222268437623943e-07,1.8059898586851774e-07
S021,real,Cz,6.037785703812929e-07,2.351248460651776e-07
S021,imaginacion,C3,7.068265853658865e-07,2.9690798366467275e-07
S021,imaginacion,C4,4.662084855289722e-07,2.0931573718319882e-07
S021,imaginacion,Cz,6.415387875696551e-07,2.703474730216299e-07
S022,real,C3,1.5170005691797644e-06,7.35212446154395e-07
S022,real,C4,1.5491758547761905e-06,7.094245989463686e-07
S022,real,Cz,1.7213880921100632e-06,8.010235749817997e-07
S022,imaginacion,C3,1.5379252852842095e-06,7.165527170411683e-07
S022,imaginacion,C4,1.5060709562876318e-06,7.25757750488543e-07
S022,imaginacion,Cz,1.741043366680967e-06,7.886253302152499e-07
S023,real,C3,3.19769477440697e-06,1.1925101348664134e-06
S023,real,C4,2.325164200931509e-06,9.510167888542043e-07
S023,real,Cz,3.2015589224612855e-06,1.1995516786049736e-06
S023,imaginacion,C3,3.6812295319003546e-06,1.1409287450352916e-06
S023,imaginacion,C4,2.821886979905306e-06,1.0162359143529872e-06
S023,imaginacion,Cz,3.7672222797040777e-06,1.2118519227171816e-06
S024,real,C3,4.311647717373614e-07,3.884908311346911e-07
S024,real,C4,3.587063577591613e-07,4.575503025024297e-07
S024,real,Cz,5.032182440842601e-07,3.8568426529381986e-07
S024,imaginacion,C3,5.730096774740023e-07,7.81513396953716e-07
S024,imaginacion,C4,4.7637566793932797e-07,6.651858527137123e-07
S024,imaginacion,Cz,6.359416689538044e-07,5.689452457261878e-07
S025,real,C3,4.6956295268427783e-07,1.3078834991114065e-07
S025,real,C4,4.528528528636287e-07,1.1848117355734312e-07
S025,real,Cz,5.233978291087068e-07,1.1935977780577388e-07
S025,imaginacion,C3,5.132934696491748e-07,1.4504920985089868e-07
S025,imaginacion,C4,4.850382304679191e-07,1.356102810573506e-07
S025,imaginacion,Cz,5.415971794546526e-07,1.3260552165852555e-07
S026,real,C3,1.4347041100018874e-07,8.384688518366615e-08
S026,real,C4,1.1019967758008247e-07,7.089898138839075e-08
S026,real,Cz,1.5931176229028203e-07,8.843448513768271e-08
S026,imaginacion,C3,1.4862803612077403e-07,7.531676913114404e-08
S026,imaginacion,C4,1.27749868815825e-07,1.0081247779935964e-07
S026,imaginacion,Cz,1.7039359837315563e-07,8.849895703729513e-08
S027,real,C3,3.338739948868285e-06,6.129511277222053e-07
S027,real,C4,2.160148556728813e-06,8.821390743177007e-07
S027,real,Cz,2.698533524287013e-06,4.37574948349779e-07
S027,imaginacion,C3,2.526221293189838e-06,5.413779606698126e-07
S027,imaginacion,C4,1.6993638462454146e-06,5.040251058627464e-07
S027,imaginacion,Cz,2.179890859804168e-06,4.1925481786367254e-07
S028,real,C3,4.332410930596481e-06,6.940136106051221e-07
S028,real,C4,2.9175597336575137e-06,4.165039326708375e-07
S028,real,Cz,4.015860198571542e-06,6.994075750381376e-07
S028,imaginacion,C3,4.7256138589694e-06,6.90101184964126e-07
S028,imaginacion,C4,3.439940892328279e-06,5.094321385834275e-07
S028,imaginacion,Cz,4.3934935187842466e-06,7.00988050733543e-07
S029,real,C3,5.005300946843054e-07,6.35709924947712e-08
S029,real,C4,4.573336796986881e-07,5.922594831698499e-08
S029,real,Cz,6.150702387487457e-07,5.8655803464106166e-08
S029,imaginacion,C3,8.136761293362292e-07,7.996607549134525e-08
S029,imaginacion,C4,6.200443927053455e-07,6.966404908157573e-08
S029,imaginacion,Cz,8.791998965052746e-07,7.261095486655144e-08
S030,real,C3,1.7577856619088985e-07,5.4231967275454226e-08
S030,real,C4,1.2577377203045384e-07,3.9236218297103316e-08
S030,real,Cz,1.6689871687145293e-07,4.563619799204944e-08
S030,imaginacion,C3,1.9603363757362315e-07,4.588124807327064e-08
S030,imaginacion,C4,1.4970195831657304e-07,3.5371652425838544e-08
S030,imaginacion,Cz,1.994473901568077e-07,3.980477509258915e-08
S031,real,C3,2.816711522000433e-06,5.475588848422448e-07
S031,real,C4,2.238869745528492e-06,4.05155048522214e-07
S031,real,Cz,3.1738981762396535e-06,5.787111458196272e-07
S031,imaginacion,C3,3.553965115185306e-06,5.709198865450765e-07
S031,imaginacion,C4,2.5822653511895414e-06,4.319770668971628e-07
S031,imaginacion,Cz,3.7882767335700214e-06,6.113497251283784e-07
S032,real,C3,2.412617177298529e-06,7.130727782315403e-07
S032,real,C4,2.420786981624512e-06,7.333342272355067e-07
S032,real,Cz,2.6605985908664382e-06,8.860861958368139e-07
S032,imaginacion,C3,1.2123406596173202e-06,6.661053862880289e-07
S032,imaginacion,C4,1.0690102069597495e-06,7.055801624329074e-07
S032,imaginacion,Cz,1.443281189608333e-06,7.822527582631732e-07
S033,real,C3,4.033201182168471e-07,2.005546250578664e-07
S033,real,C4,2.8978117598712126e-07,1.6235123082096425e-07
S033,real,Cz,3.0816890170814323e-07,1.5817642363898135e-07
S033,imaginacion,C3,1.598152459926096e-06,3.2282722519041055e-07
S033,imaginacion,C4,4.573690000148328e-07,2.2580343780049253e-07
S033,imaginacion,Cz,4.073972374915694e-07,1.9191155237620817e-07
S034,real,C3,4.056416901349488e-07,3.9578476840627365e-08
S034,real,C4,3.1774567988852617e-07,2.7500646137269275e-08
S034,real,Cz,3.454077948796198e-07,3.317136101296402e-08
S034,imaginacion,C3,6.416505045493889e-07,4.4646610165193134e-08
S034,imaginacion,C4,3.673473590427769e-07,2.883433404130429e-08
S034,imaginacion,Cz,4.6500871929466706e-07,3.5616379053129544e-08
S035,real,C3,7.806990597065679e-07,1.065921594998653e-07
S035,real,C4,6.690432492173789e-07,9.605129884505142e-08
S035,real,Cz,6.861423227247904e-07,1.035180416841436e-07
S035,imaginacion,C3,7.292870664029542e-07,1.0226535470942038e-07
S035,imaginacion,C4,6.141475382904029e-07,9.949100432096434e-08
S035,imaginacion,Cz,6.283086422091303e-07,1.0220811440515226e-07
S036,real,C3,5.8579748565583446e-06,1.8584527795703577e-06
S036,real,C4,3.825040246981667e-06,1.4909726774124658e-06
S036,real,Cz,5.830545736189131e-06,1.7741326549659803e-06
S036,imaginacion,C3,5.281040973582318e-06,1.7501907399356616e-06
S036,imaginacion,C4,3.6635204140805116e-06,1.3076064864758068e-06
S036,imaginacion,Cz,5.371285242709232e-06,1.6308294711124752e-06
S037,real,C3,8.569353952633948e-08,6.303816524577643e-08
S037,real,C4,7.283046197278097e-08,4.725151573574606e-08
S037,real,Cz,7.33103905172803e-08,4.7021219135331514e-08
S037,imaginacion,C3,8.731048871671876e-08,8.474443780073523e-08
S037,imaginacion,C4,7.100781991698351e-08,5.728671853646135e-08
S037,imaginacion,Cz,7.157298723938176e-08,5.7055560976898825e-08
S038,real,C3,1.6150640401076365e-06,5.324109320929391e-07
S038,real,C4,9.275764043783423e-07,3.0744354264796955e-07
S038,real,Cz,1.5570727880133557e-06,4.508704257521049e-07
S038,imaginacion,C3,1.40116775923407e-06,5.382877533254027e-07
S038,imaginacion,C4,8.593220195707021e-07,3.141530271000452e-07
S038,imaginacion,Cz,1.4469842494201739e-06,4.400578750826204e-07
S039,real,C3,3.039703740258234e-06,1.0890439659023618e-06
S039,real,C4,3.0850616252391982e-06,9.698887831813103e-07
S039,real,Cz,4.087944350434544e-06,1.1037019343272384e-06
S039,imaginacion,C3,3.2008786902857577e-06,9.084010159915228e-07
S039,imaginacion,C4,3.7568891845625062e-06,1.0184565975004149e-06
S039,imaginacion,Cz,4.252725206761731e-06,1.0654133061594088e-06
S040,real,C3,6.80645037184478e-07,2.800516630890373e-07
S040,real,C4,6.45312239463723e-07,2.5161198796156585e-07
S040,real,Cz,7.444757252631395e-07,2.8181850047105877e-07
S040,imaginacion,C3,7.249708265493009e-07,2.6250865126098437e-07
S040,imaginacion,C4,6.053656477754655e-07,2.41411553278281e-07
S040,imaginacion,Cz,9.725037947248914e-07,3.7989259014253396e-07
S041,real,C3,1.4882434918943445e-07,4.796068919436419e-08
S041,real,C4,1.0515494536960942e-07,3.633009143794632e-08
S041,real,Cz,1.3925988658524468e-07,4.705709811966511e-08
S041,imaginacion,C3,1.4982180096472669e-07,5.591859379149395e-08
S041,imaginacion,C4,9.990585491854959e-08,4.479911246291217e-08
S041,imaginacion,Cz,1.372764237690996e-07,5.607753192697378e-08
S042,real,C3,7.030547893424745e-07,8.15767049211836e-08
S042,real,C4,4.965035633426679e-07,6.976252671793495e-08
S042,real,Cz,7.33643187130479e-07,7.844421697083806e-08
S042,imaginacion,C3,1.1339880851033104e-06,9.715165118617276e-08
S042,imaginacion,C4,6.628232654828333e-07,8.124871075492478e-08
S042,imaginacion,Cz,9.871854065364025e-07,7.950984912519716e-08
S043,real,C3,1.8611029241893907e-06,7.422498797995754e-07
S043,real,C4,1.3344343072304818e-06,5.718417699770097e-07
S043,real,Cz,2.027668729580221e-06,9.288361183278458e-07
S043,imaginacion,C3,2.0316588110448035e-06,7.732847037261132e-07
S043,imaginacion,C4,1.2463854522243174e-06,5.68375001792644e-07
S043,imaginacion,Cz,1.7444238100875846e-06,9.187638020533005e-07
S044,real,C3,8.559681613286132e-06,8.657373939209559e-07
S044,real,C4,7.792741587221848e-06,6.910086762093247e-07
S044,real,Cz,8.332346474141279e-06,8.907594395744817e-07
S044,imaginacion,C3,1.0524936262444483e-05,8.597593963689025e-07
S044,imaginacion,C4,9.144796448188997e-06,6.932570381295705e-07
S044,imaginacion,Cz,1.0813367869783355e-05,8.773277593442563e-07
S045,real,C3,3.0772674797164468e-06,1.0122516197379338e-06
S045,real,C4,1.9351083279824648e-06,7.598933063495673e-07
S045,real,Cz,3.0484908749786587e-06,8.247877188610916e-07
S045,imaginacion,C3,3.6782797941545807e-06,1.1213739110315968e-06
S045,imaginacion,C4,2.0158605193958965e-06,7.39654305031454e-07
S045,imaginacion,Cz,3.4559568185074213e-06,9.482346203481233e-07
S046,real,C3,2.0643229025960047e-06,7.181150767505104e-07
S046,real,C4,1.865888486912796e-06,6.180264576721474e-07
S046,real,Cz,2.3698645369490865e-06,7.800384329141348e-07
S046,imaginacion,C3,1.6210240026358984e-06,5.2494795448923e-07
S046,imaginacion,C4,1.4520301741994642e-06,5.435361962864711e-07
S046,imaginacion,Cz,1.888189938649407e-06,7.07544756364793e-07
S047,real,C3,3.819254284610706e-07,8.33062605546975e-08
S047,real,C4,2.277379752385835e-07,5.61992839641931e-08
S047,real,Cz,3.932526404184646e-07,7.976818791143627e-08
S047,imaginacion,C3,3.852378838066391e-07,8.471894809743088e-08
S047,imaginacion,C4,2.4796811822390947e-07,5.965129132593777e-08
S047,imaginacion,Cz,4.1125379621985284e-07,8.478515805277402e-08
S048,real,C3,1.557256109156627e-05,1.403813179099011e-06
S048,real,C4,1.282192698395555e-05,1.1615693473087415e-06
S048,real,Cz,1.621865525552398e-05,1.6966647373312562e-06
S048,imaginacion,C3,1.958286618914772e-05,1.7147290041115316e-06
S048,imaginacion,C4,1.6080950801453543e-05,1.352082703153383e-06
S048,imaginacion,Cz,2.122424360620416e-05,1.96548890436154e-06
S049,real,C3,1.69225091195612e-06,2.069647635148259e-06
S049,real,C4,1.053744559099468e-06,1.0379683721270584e-06
S049,real,Cz,1.4554842465775286e-06,1.979560010087837e-06
S049,imaginacion,C3,1.6915969974525445e-06,2.112282213232805e-06
S049,imaginacion,C4,1.2922789632295164e-06,1.1982692147985805e-06
S049,imaginacion,Cz,1.7383611643211889e-06,2.085375338127887e-06
S050,real,C3,5.171046974532555e-07,1.982295282722415e-07
S050,real,C4,3.731561031110235e-07,1.7826635267784941e-07
S050,real,Cz,5.144387761586117e-07,2.0819173185525946e-07
S050,imaginacion,C3,5.057533081614638e-07,2.0109031100103296e-07
S050,imaginacion,C4,3.32346958005202e-07,1.7682563522423296e-07
S050,imaginacion,Cz,4.945277706741759e-07,2.1403996275337754e-07
S051,real,C3,3.062578417863572e-08,1.4660729972961969e-08
S051,real,C4,2.5016272773175527e-08,1.0341666349531827e-08
S051,real,Cz,3.560792616778358e-08,1.525265165033596e-08
S051,imaginacion,C3,3.02203762582861e-08,1.4397195323235241e-08
S051,imaginacion,C4,2.3342134738656502e-08,1.098409341683146e-08
S051,imaginacion,Cz,3.379272024400277e-08,1.5077981418038644e-08
S052,real,C3,3.8086467233952823e-06,6.51079399099933e-07
S052,real,C4,2.863833805687361e-06,4.6195821926774895e-07
S052,real,Cz,6.696819124846019e-06,8.178726588487197e-07
S052,imaginacion,C3,6.864846729276461e-06,7.870251451902135e-07
S052,imaginacion,C4,3.5667096247320964e-06,4.913760633302786e-07
S052,imaginacion,Cz,7.396736477557248e-06,9.037854484574454e-07
S053,real,C3,2.8658906079201385e-06,1.1136904357851233e-06
S053,real,C4,1.5324538095034764e-06,8.506436810752713e-07
S053,real,Cz,2.259202890832569e-06,1.03132723239464e-06
S053,imaginacion,C3,2.819958954931897e-06,1.070975113091622e-06
S053,imaginacion,C4,1.5027524957463213e-06,7.614542780350391e-07
S053,imaginacion,Cz,2.2684309426921263e-06,9.358494588295674e-07
S054,real,C3,7.056886258382351e-06,6.796905238236283e-07
S054,real,C4,6.385114395156326e-06,6.063067866513629e-07
S054,real,Cz,5.9598434227107016e-06,6.534628269289473e-07
S054,imaginacion,C3,9.342788619560108e-06,7.430705524610436e-07
S054,imaginacion,C4,7.669428002092734e-06,5.942715929095864e-07
S054,imaginacion,Cz,6.588624433844556e-06,6.22639750386978e-07
S055,real,C3,1.2583475386714764e-07,1.9731855596402493e-08
S055,real,C4,1.2240211562075824e-07,1.656432638965997e-08
S055,real,Cz,1.5676326576513362e-07,2.344320446680471e-08
S055,imaginacion,C3,1.3794623632356713e-07,2.022897137971801e-08
S055,imaginacion,C4,1.1772444801696535e-07,1.7257910270381333e-08
S055,imaginacion,Cz,1.4824391874983068e-07,2.3714957087697127e-08
S056,real,C3,9.418540020602925e-06,1.0995137531250465e-06
S056,real,C4,6.404850635374498e-06,8.837582435416765e-07
S056,real,Cz,9.108800795542341e-06,1.0112865570943432e-06
S056,imaginacion,C3,1.1153160256069176e-05,1.2714048668453174e-06
S056,imaginacion,C4,6.530221026626256e-06,9.530961686537176e-07
S056,imaginacion,Cz,9.990877124659795e-06,1.1169222034213045e-06
S057,real,C3,1.5854002284426716e-06,8.900681178855894e-07
S057,real,C4,1.277458676789042e-06,6.534082971012279e-07
S057,real,Cz,1.6543372976266981e-06,7.960313451193399e-07
S057,imaginacion,C3,1.8929983466688196e-06,9.104932121464215e-07
S057,imaginacion,C4,1.33964772838709e-06,6.857730914566192e-07
S057,imaginacion,Cz,1.9387255849882005e-06,8.51018802254467e-07
S058,real,C3,9.926164837941508e-07,8.560130238097907e-07
S058,real,C4,6.926257995829425e-07,6.56742704698935e-07
S058,real,Cz,9.005825709816762e-07,7.345014635138695e-07
S058,imaginacion,C3,9.024681677053841e-07,6.295635819758423e-07
S058,imaginacion,C4,7.153851177674785e-07,5.639618033894652e-07
S058,imaginacion,Cz,9.13630126188377e-07,5.424951924504013e-07
S059,real,C3,2.328059415597568e-06,8.18269065229791e-07
S059,real,C4,1.6805383901198562e-06,5.391242285646983e-07
S059,real,Cz,2.2356831054103054e-06,7.29236175542948e-07
S059,imaginacion,C3,3.897292531953208e-06,9.503900629542881e-07
S059,imaginacion,C4,2.272868805644053e-06,5.630152536397809e-07
S059,imaginacion,Cz,3.2190017600477126e-06,7.733382996044714e-07
S060,real,C3,2.7618729782032763e-06,8.0607464167038e-07
S060,real,C4,2.019498338683992e-06,5.975475783518214e-07
S060,real,Cz,3.22826835972171e-06,9.416731057194378e-07
S060,imaginacion,C3,4.2857287112814495e-06,9.080024835949709e-07
S060,imaginacion,C4,2.3391974750235833e-06,6.361679068684387e-07
S060,imaginacion,Cz,3.457061384243322e-06,1.0124309246488984e-06
S061,real,C3,5.22791384513129e-06,1.1298253284185795e-06
S061,real,C4,5.005854797311605e-06,1.125783347609122e-06
S061,real,Cz,6.176385485695715e-06,1.199360201657036e-06
S061,imaginacion,C3,7.106753112383303e-06,1.5726905935920244e-06
S061,imaginacion,C4,6.932954973195345e-06,1.545921226885866e-06
S061,imaginacion,Cz,8.202686680880128e-06,1.6497160553954153e-06
S062,real,C3,5.188207678667427e-07,1.0702787464632995e-07
S062,real,C4,5.181615823090589e-07,9.352816610281321e-08
S062,real,Cz,7.297259882163633e-07,1.2128084525511053e-07
S062,imaginacion,C3,7.475360334920905e-07,1.295623963984407e-07
S062,imaginacion,C4,7.089789069863682e-07,1.1159593216026707e-07
S062,imaginacion,Cz,9.280316777813853e-07,1.4190927507982504e-07
S063,real,C3,5.488192045172994e-07,2.876124171398e-07
S063,real,C4,4.3610371111982865e-07,2.089190479323084e-07
S063,real,Cz,5.623808987886845e-07,2.291762633778911e-07
S063,imaginacion,C3,5.496124027583021e-07,4.155066424776441e-07
S063,imaginacion,C4,3.875768946846725e-07,2.975429393988378e-07
S063,imaginacion,Cz,4.748579716547917e-07,2.487040479969263e-07
S064,real,C3,1.7104470950764197e-07,6.037631625396268e-08
S064,real,C4,1.3468933245228964e-07,4.993739866767343e-08
S064,real,Cz,2.183259664819073e-07,5.977915738632643e-08
S064,imaginacion,C3,1.4231256034903287e-07,5.339263838624863e-08
S064,imaginacion,C4,1.117817616822801e-07,4.184814773204251e-08
S064,imaginacion,Cz,1.5981938061850167e-07,5.4090875901920875e-08
S065,real,C3,2.521779108813253e-06,5.376366628107607e-07
S065,real,C4,2.1417778269715436e-06,4.525877884595955e-07
S065,real,Cz,2.886498418927534e-06,5.266469852198824e-07
S065,imaginacion,C3,2.4499803130908306e-06,5.776542422188126e-07
S065,imaginacion,C4,1.9090328819875434e-06,4.945386252474794e-07
S065,imaginacion,Cz,2.848855564359216e-06,5.797266914212232e-07
S066,real,C3,1.92338661582172e-06,3.6430529243664965e-07
S066,real,C4,9.622520794045497e-07,2.0880321222887634e-07
S066,real,Cz,1.4510489619936565e-06,3.641072064940673e-07
S066,imaginacion,C3,1.9133718189484366e-06,3.208516500142122e-07
S066,imaginacion,C4,1.2167221847611145e-06,2.0187930963990386e-07
S066,imaginacion,Cz,1.6873692800169816e-06,3.5616862425219366e-07
S067,real,C3,1.1074255755926787e-07,1.5122809424584486e-07
S067,real,C4,1.0052005887909791e-07,1.4516717668113693e-07
S067,real,Cz,8.372737911034986e-08,8.498737500824016e-08
S067,imaginacion,C3,1.1712169370552206e-07,1.1788599189811199e-07
S067,imaginacion,C4,8.25440322887573e-08,8.74529039852413e-08
S067,imaginacion,Cz,6.952485178604911e-08,5.216024868381e-08
S068,real,C3,2.386614506382087e-06,8.168019746769796e-07
S068,real,C4,1.3052769645128061e-06,6.039890444149758e-07
S068,real,Cz,1.8881985688044931e-06,6.282626666980668e-07
S068,imaginacion,C3,2.288315246977491e-06,6.882087274695394e-07
S068,imaginacion,C4,1.4003945680787276e-06,4.622627646911457e-07
S068,imaginacion,Cz,2.024469207184662e-06,6.200748077416859e-07
S069,real,C3,7.523689174758204e-07,3.50296271409049e-07
S069,real,C4,6.813680772670424e-07,2.948102074963127e-07
S069,real,Cz,7.562040329460498e-07,2.914732575185508e-07
S069,imaginacion,C3,1.1489024622949364e-06,3.9210864766705644e-07
S069,imaginacion,C4,8.444131942330702e-07,2.766175012032434e-07
S069,imaginacion,Cz,9.442931493748817e-07,2.8251677558938804e-07
S070,real,C3,3.8507552311502174e-06,8.883864883639537e-07
S070,real,C4,2.713829472452157e-06,5.713531427955692e-07
S070,real,Cz,4.018093027328718e-06,7.616033738725009e-07
S070,imaginacion,C3,3.986149366585597e-06,1.046215759791097e-06
S070,imaginacion,C4,2.931841114204284e-06,6.391130487015343e-07
S070,imaginacion,Cz,4.296844017374173e-06,8.389757308478033e-07
