Sujeto,Evento,Mu_C3,Beta_C3,Entropia_C3,Mu_Cz,Beta_Cz,Entropia_Cz,Mu_C4,Beta_C4,Entropia_C4,Coherencia_Mu_C3-Cz,Coherencia_Beta_C3-Cz,Coherencia_Mu_C3-C4,Coherencia_Beta_C3-C4,Coherencia_Mu_Cz-C4,Coherencia_Beta_Cz-C4,CSP_1,CSP_2
S005,T1,6.613267097440542e-12,2.033718636955367e-12,1.4519419689591244,7.637690814374375e-12,2.0292193615918774e-12,1.352347316643437,4.993184900017774e-12,1.8112732690686058e-12,1.4597871379296945,0.7514244636395679,0.6966410511435329,0.5889054377497063,0.46747533640034866,0.7542455814705566,0.6448997465943866,-0.7399784362687671,-0.7136783376524021
S005,T2,6.480315143832244e-12,2.0081079107590304e-12,1.4012642777317397,7.515931272493096e-12,1.9922789031275338e-12,1.44465678618219,5.247835556701582e-12,1.841268209947975e-12,1.607926704019557,0.8814983997528545,0.6972714946943606,0.6791477142091955,0.4968495561496291,0.824190318135996,0.6310813668417029,-0.7399784362687671,-0.7136783376524021
S006,T0,4.5862098220938835e-12,5.132368035756938e-12,1.6046777423324972,4.047504458440221e-12,3.866992531557421e-12,1.53571130429695,3.627525042420995e-12,3.9095055737777476e-12,1.5971987387750552,0.6606538136456946,0.7971594912449261,0.4688379681879532,0.5522600945719206,0.7076425416427606,0.6939950809288628,,
S006,T1,4.74265420870468e-12,4.477123840823537e-12,1.556540966312015,3.919740338322494e-12,3.23940721470187e-12,1.5694862820711055,3.709492263947801e-12,3.2263788325907727e-12,1.6453980613151085,0.7019183705019408,0.7121774280205754,0.4160590008422689,0.3918134145865349,0.7036787119243244,0.6210215767121213,-0.7574690314463893,-0.770377716132121
S006,T2,5.0549583621889425e-12,4.671429764047212e-12,1.5976138975061729,4.228029470859045e-12,3.501628520189509e-12,1.5571351966956974,3.678366580076486e-12,3.3754757013483682e-12,1.5919632819108365,0.8599286713452733,0.7952995475881949,0.6958504119259017,0.5003926212936435,0.8331877997974567,0.7417280848726876,-0.7574690314463893,-0.770377716132121
S007,T0,4.721517792258832e-11,5.672005051288343e-12,1.5030848408635225,4.616172565904716e-11,4.67081169032896e-12,1.3696526341733755,3.555233368461487e-11,3.945432508838821e-12,1.409466129574659,0.8765458090796407,0.8078330276126787,0.5320184517275819,0.5220036956537248,0.6528253932502343,0.7233132447815134,,
S007,T1,3.909557003166268e-11,5.021832075116699e-12,1.4624809576678466,3.39687737959884e-11,3.941869833752409e-12,1.35810783702718,2.477136351930557e-11,3.228889116181647e-12,1.561539658087131,0.8540815399006796,0.7906226980494722,0.6334475498122223,0.605162123185659,0.8357615550250848,0.820372526641662,-0.7882762669404966,-0.7231851284987474
S007,T2,3.828992900892559e-11,4.491513024232641e-12,1.458793212293716,4.142278788476594e-11,4.1926840152209785e-12,1.290302970581514,3.741420229522987e-11,4.1439266598068455e-12,1.4766620921915756,0.9051222980575264,0.7682760783984438,0.7171160383137299,0.41845317119006026,0.8577534161566354,0.647759763694568,-0.7882762669404966,-0.7231851284987474
S008,T0,1.164780249122246e-11,2.5612075964e-12,1.4868526516458778,1.379445719304687e-11,2.4980734498046546e-12,1.4350561970786722,1.161086252635814e-11,2.2670764871975823e-12,1.4617233955996953,0.7799020269905581,0.7784249360549189,0.7603285569953334,0.5554085729786064,0.8972465932811998,0.7259729839117309,,
S008,T1,1.1231676134606868e-11,2.394503920874953e-12,1.412183992189336,1.284568272058014e-11,2.2772920053141906e-12,1.333211013831389,1.0656965726650706e-11,2.0307673448076786e-12,1.3270116120269166,0.8092084698548684,0.747903100881225,0.7185589763065842,0.6308976943513097,0.8101838193766823,0.7737336936474773,-0.7173583449339133,-0.708167982512173
S008,T2,1.1282403615351537e-11,2.3444622452070917e-12,1.5162965689821009,1.3342337660291406e-11,2.2532841871056823e-12,1.3747483701228296,1.1819187426079688e-11,2.0862889327767112e-12,1.4720285443559311,0.7943864479962874,0.7136251860186992,0.7910955658638819,0.5798331713968948,0.8731206411202449,0.782083329921737,-0.7173583449339133,-0.708167982512173
S009,T0,3.486600142243794e-11,1.6776259348537512e-11,1.7049410865456922,3.905886680089335e-11,1.274610946374388e-11,1.7894016192193956,3.062120404045349e-11,1.8946228755958666e-11,1.7778966133196594,0.8557270230574876,0.6834701302371696,0.6680857606380948,0.4618121214025569,0.8363445899840095,0.7501030944026389,,
S009,T1,3.02281172947809e-11,1.6340277985473914e-11,1.6545886686617985,3.223811014390112e-11,1.2951810106157616e-11,1.7310812071127235,2.641364111176962e-11,1.9254103774237814e-11,1.8046347585090303,0.733720215195169,0.7219400934437552,0.6044132502430097,0.42443983276908265,0.8250350233079593,0.7010223555486041,-0.715733954458918,-0.7585656248514223
S009,T2,3.4983881274630564e-11,1.6229195771676453e-11,1.7047480922384253,3.918964878282652e-11,1.2861317909682884e-11,1.6131755994222448,3.070511409916278e-11,1.9865794626407638e-11,1.732185200992532,0.8057403272965535,0.737279901425282,0.7065577626517253,0.509414512751155,0.8397370409701737,0.7948675086327329,-0.715733954458918,-0.7585656248514223
S010,T0,3.658380850473704e-11,1.098233511528415e-11,1.3111973597824509,3.9476248205061494e-11,1.0445612072052653e-11,1.2251643518480844,3.1744726593134465e-11,8.380072868438094e-12,1.219025358576019,0.7501947330590404,0.7874068382298528,0.5309647090888814,0.5727985481353269,0.7184079911883743,0.7766475178727769,,
S010,T1,3.808397153837395e-11,1.0610394785033477e-11,1.2156319879203217,4.047967378285083e-11,1.0256619574293066e-11,1.1730386138780566,3.06664521323321e-11,8.147950894734542e-12,1.1834816007929285,0.7609544925884564,0.8046118427715043,0.6512826343532434,0.677110217524315,0.7865321780571684,0.7923647488253331,-0.7569537839808037,-0.7285370676014029
S010,T2,3.308441796648545e-11,9.817073872341957e-12,1.3049710327192068,3.6790872640740916e-11,9.698412504519552e-12,1.2211748872361659,3.1383739629551964e-11,8.064533158009296e-12,1.290188048205559,0.8494451263402685,0.8348675676806143,0.6905509958929562,0.6290565763933357,0.8041251846685962,0.7442167705546864,-0.7569537839808037,-0.7285370676014029
S011,T0,4.127081875586459e-12,1.819824985675054e-12,1.4043405947208392,5.255626632693549e-12,1.9341191292922965e-12,1.3624294398148322,3.911778923528236e-12,1.529717822481518e-12,1.4663858457121988,0.8099381065513392,0.8020460022897773,0.6744155192628329,0.6663085237109767,0.8265903286432874,0.8503765851383766,,
S011,T1,3.86196942787915e-12,1.7225507956232063e-12,1.4524967015540293,4.7880642304629424e-12,1.7838112067929178e-12,1.32610149281816,3.3472512062566873e-12,1.4305091104394883e-12,1.4195832170765614,0.7993734291044736,0.7870158755879597,0.6247673567587708,0.6175444886019837,0.8629035033318297,0.7990951422236847,-0.7035562677800066,-0.7074292801735323
S011,T2,3.526028670135297e-12,1.7145565253467706e-12,1.4815754588983594,4.367921524964268e-12,1.773582500977914e-12,1.4306567633194365,3.284156441810541e-12,1.4411962252338074e-12,1.4494488507649053,0.8696937787820365,0.74151207955668,0.7057039680720514,0.5296949781164612,0.7833114132586618,0.752449795436608,-0.7035562677800066,-0.7074292801735323
S012,T0,7.2352991825324945e-12,2.4781500323426504e-12,1.6243348319901,7.752354767910124e-12,2.0903566835205877e-12,1.549765580947702,6.5841036151036954e-12,1.9360402770520336e-12,1.534727349120234,0.8854474864158461,0.7974373457489954,0.7879308280297006,0.5592741280555349,0.9480467386487357,0.8250716882356366,,
S012,T1,6.755784338917049e-12,2.340752451747591e-12,1.4940857066012658,7.135401369644683e-12,1.8985249289745147e-12,1.48921165549803,6.9221429097705636e-12,1.7851860513208498e-12,1.5877369593606236,0.831404235712927,0.7531895116369504,0.6230693970627509,0.5565854705395807,0.8621328015876315,0.8352949421208152,-0.8210475669317853,-0.7178211783428075
S012,T2,6.7424442961902934e-12,2.4024290504967835e-12,1.5577718623421777,7.512177630001707e-12,1.971611708700584e-12,1.5106109953359181,6.513065605665809e-12,1.99367920576043e-12,1.5430849277026442,0.854154379369747,0.7583675180514208,0.6503203021207316,0.6048745660445688,0.8348042257894759,0.8314372448355299,-0.8210475669317853,-0.7178211783428075
S013,T0,6.387444785948022e-11,2.7214267172822774e-11,1.6870728481114197,6.941230911193636e-11,2.361965634380383e-11,1.5189903846778985,4.043009307848357e-11,2.2317844605932484e-11,1.6628511114443072,0.8565060601316592,0.6459866749590875,0.6943162118577352,0.4315518522883401,0.8029654059784153,0.6602728393438708,,
S013,T1,4.589806097566089e-11,2.5798932884391617e-11,1.657642425049458,4.869364188838148e-11,2.1739646177636914e-11,1.4855197054950373,3.107278877177845e-11,1.7963042662615156e-11,1.575713179784607,0.8819222230281925,0.6863176304213168,0.7874636570909093,0.49260774510454125,0.8546416145248118,0.6822448202013208,-0.747770181662045,-0.8332430891641606
S013,T2,3.658146397934723e-11,2.1698003993396903e-11,1.694551925473636,3.882963855347297e-11,2.03511060899912e-11,1.4930257778185676,2.4714840683022545e-11,1.9043504162206434e-11,1.6531295719321486,0.8464723284108893,0.7171677877654208,0.707611790924783,0.40384158909200213,0.8877131012008757,0.6182280613885077,-0.747770181662045,-0.8332430891641606
S014,T0,3.713293948446745e-11,5.0095675830353955e-12,1.4299992740322822,3.784962396582856e-11,4.340891373123779e-12,1.2601840408951819,2.922207117543442e-11,3.987373098363381e-12,1.4045098010112318,0.8617706911785374,0.7410280954403152,0.7387770883236401,0.4070465787103756,0.7233235349603288,0.5682403898563697,,
S014,T1,3.6981985517999996e-11,4.8386750483744016e-12,1.5971741781116924,4.080710266646009e-11,4.231181913185847e-12,1.4183456104922694,3.0507667147246076e-11,3.943220333936231e-12,1.5028411498639749,0.7793169279983594,0.6925954020422599,0.5213618352646909,0.3885307990290793,0.6453043071430434,0.6163041836432098,-0.733262757850298,-0.7145495027960594
S014,T2,4.0144030868783315e-11,5.047020907156538e-12,1.536957298992027,4.337987892160512e-11,4.628914613986007e-12,1.2908878839492242,3.128487610243075e-11,4.1486011421289194e-12,1.520586534388118,0.9057830527717443,0.7874497027498718,0.7635508765622367,0.548602783500023,0.8188563825737809,0.633318417070489,-0.733262757850298,-0.7145495027960594
S015,T0,6.043378431898628e-11,3.0080475047739886e-11,1.5015773954741896,5.628219167421958e-11,2.734354256612215e-11,1.4754777632901048,4.7423185160410606e-11,2.329421844125024e-11,1.567159719045237,0.8835531017418583,0.8095707618164194,0.6991390147780912,0.6213577761635423,0.77115922569295,0.8007699677904282,,
S015,T1,5.825582077515712e-11,2.6078728345885842e-11,1.5193067511613414,5.5841987446920284e-11,2.4065102055838934e-11,1.4264655258091674,4.167631169881345e-11,1.984282682890573e-11,1.5830436780810724,0.8269032421590067,0.8387714387698857,0.6320684537734196,0.5566455560607892,0.8085097191075677,0.7696370765799351,-0.7278353663899306,-0.7144859698640963
S015,T2,5.99641414786054e-11,2.6827944345907185e-11,1.497990421460425,5.821710291180922e-11,2.440546492923158e-11,1.412793607533329,4.8109002042649156e-11,2.0842444594509736e-11,1.5716524104830674,0.8637129216814745,0.8765954855275109,0.6061464731077161,0.6258969801271682,0.7855484653558584,0.7768878407645456,-0.7278353663899306,-0.7144859698640963
S016,T0,1.6931909020333864e-11,4.511275630956615e-12,1.4815750819384863,1.8680510380838517e-11,4.663556451214643e-12,1.517128922556247,1.4969917338203174e-11,4.274819900526023e-12,1.5264511832263972,0.8973292147357925,0.8114076397677482,0.899539559099069,0.7225599398540129,0.9429635608632092,0.8020574133618475,,
S016,T1,1.742250447665562e-11,3.799055757632449e-12,1.3370796263465454,1.8807770291955458e-11,3.874991822728367e-12,1.4405038197846172,1.485277794868442e-11,3.546142401922464e-12,1.4458222911795413,0.9246886178358444,0.8265386193628507,0.8769936585660278,0.5646646116296141,0.9657115318600551,0.7994354883730151,-0.7373160400167891,-0.7676967740044146
S016,T2,1.4620321427669865e-11,3.924645522612197e-12,1.5799354251973994,1.633761343278745e-11,3.919690179248589e-12,1.5433562511546075,1.2771633894396846e-11,3.6359722473313958e-12,1.5623323749955302,0.9016296993782209,0.7386766829646099,0.8463739730586557,0.5371621632377216,0.9004228692744748,0.74653897048823,-0.7373160400167891,-0.7676967740044146
S017,T0,6.573081399517224e-11,3.537005595878248e-11,1.7490401911669922,6.304281095225947e-11,1.5115045239140915e-11,1.7031306232242445,6.052414675684338e-11,2.2074456071791504e-11,1.6955956208677145,0.7112755621360274,0.6824833014807421,0.5351166008742767,0.44670905374770203,0.8347738171683121,0.7617081001618239,,
S017,T1,5.0593307519914706e-11,3.285604835653619e-11,1.7099935145314873,4.972658103633261e-11,1.2924738138281231e-11,1.6773797267033794,4.238148675250189e-11,1.9227715967076746e-11,1.6485349473978728,0.751292149606929,0.6519935312767704,0.6330624833760198,0.3902307535411577,0.9004228175773504,0.7090697332881234,-0.7906871027876379,-0.7718921093021263
S017,T2,5.263515312161291e-11,2.957691392881684e-11,1.7556634534711821,4.997981214455894e-11,1.2065901012250221e-11,1.644948825371452,4.5668973480169955e-11,1.919687392350474e-11,1.690110201456849,0.7337099982918318,0.6658330980372521,0.6028138530505338,0.4617406200154784,0.9172709440898292,0.7022626663285841,-0.7906871027876379,-0.7718921093021263
S018,T0,1.695682040990609e-12,8.533542928433774e-13,1.5021635205939898,1.7511321437695668e-12,8.649167037980821e-13,1.457270573201454,1.4866806445825725e-12,8.712726074580585e-13,1.5325102736628626,0.9020598982958306,0.8649131744980671,0.8351819150471884,0.7843309751098287,0.9540786106955231,0.9393747121153068,,
S018,T1,1.5418226412673752e-12,8.640119616116667e-13,1.4754408540284596,1.6315361784417852e-12,8.825257364142227e-13,1.4495907467049962,1.3668793481617476e-12,8.786339444548286e-13,1.496178053348856,0.9412829137362251,0.9012473622967769,0.9221055868874491,0.7964534069128096,0.9800817251825,0.9183137326466858,-0.7301664838059045,-0.7157533053932313
S018,T2,1.4556916991541781e-12,8.108614542769135e-13,1.575966985804653,1.5402553834112885e-12,8.103220766026807e-13,1.486819193628762,1.3248111786777633e-12,8.182528647420714e-13,1.513920671856699,0.8737090938843399,0.8443490716809325,0.7475692338880388,0.7579876723632184,0.9137841536480524,0.9426922519616461,-0.7301664838059045,-0.7157533053932313
S019,T0,3.0149246968726885e-11,1.2962372464253186e-11,1.487824018991236,2.561732593740811e-11,1.194337157725113e-11,1.436837735659505,1.9429261416511612e-11,1.0598932751383379e-11,1.5408433679789044,0.81956641984456,0.7392260317480263,0.6238610143362493,0.5194387060912413,0.8146036027207204,0.6915919797947954,,
S019,T1,3.101021084654413e-11,1.1833392205574113e-11,1.5533484457830569,2.8056458201494818e-11,1.130281253230831e-11,1.4834343676012915,1.8938705321474866e-11,9.563883954651647e-12,1.538735890685793,0.8995723283227252,0.7979716311989196,0.6497493952955127,0.5431867053195469,0.8023324679405035,0.7159243301560257,-0.7412140206756833,-0.7274395159248215
S019,T2,3.2025547726998e-11,1.0585412465034462e-11,1.4739079663722263,2.892827216200987e-11,1.0452675611877658e-11,1.4056886966270976,2.0659069300760672e-11,9.433537922950517e-12,1.4752497331674657,0.791208282900007,0.7683808032756705,0.5769907337364351,0.5275890389345277,0.8046679587463816,0.7478747537213477,-0.7412140206756833,-0.7274395159248215
S020,T0,1.8868777763467793e-12,6.351243229517225e-13,1.2470322937863831,1.9613511788726268e-12,6.369525193930841e-13,1.3130375735827466,1.3302604410397634e-12,5.113498165300957e-13,1.3578090993933016,0.8058321926558437,0.7904165921281328,0.7232223834309442,0.5282477768324145,0.7905019401563216,0.5494546779878979,,
S020,T1,1.7292504782832913e-12,5.505921126670018e-13,1.34125579909966,2.0004093239652637e-12,5.576841337205851e-13,1.3550008847338577,1.2786426158642417e-12,3.9923355613069156e-13,1.3740457390436915,0.6083088671337881,0.7065818073486506,0.42608855728937395,0.5540736163425873,0.6990655936184235,0.7518050469323329,-0.7108887904784762,-0.7131862673256251
S020,T2,1.7382434793271202e-12,5.085810426861217e-13,1.294079778706878,1.9874424249618795e-12,5.119060257147761e-13,1.2594583545783529,1.235940065204167e-12,3.7693697081270034e-13,1.3075664691216036,0.7702891825390676,0.7427899423814155,0.678458963397303,0.5609446537634325,0.8542601025923976,0.7144379485767702,-0.7108887904784762,-0.7131862673256251
S021,T0,1.239873975361855e-11,5.017377041073583e-12,1.204379526337052,1.1457803853876442e-11,4.509259313187278e-12,1.2803513324846794,8.819982516524357e-12,3.697505690195738e-12,1.3654336356097134,0.8952410945947595,0.8764375006203223,0.7382283120319335,0.6155155113238298,0.8503246038166472,0.7930779159713242,,
S021,T1,1.1731629102887191e-11,4.757965835242147e-12,1.1485636869470817,1.0787034311553194e-11,4.300712240489525e-12,1.1695849840734123,7.70972096944964e-12,3.2767223093768693e-12,1.1812222501015288,0.9565523266851184,0.9049817966373651,0.8403250476992576,0.7354150806941367,0.9038892664308801,0.8801528522637302,-0.7121192098782329,-0.7688467965725352
S021,T2,1.053591661698101e-11,4.577991690447478e-12,1.1576074956505864,1.0317990310897797e-11,4.284779167175567e-12,1.2099216618457085,7.621397171812711e-12,3.6328197962355307e-12,1.2198822307959134,0.9701631381507152,0.9180316526032326,0.7519248330161652,0.6290891316531598,0.8141746754052279,0.7188199262308607,-0.7121192098782329,-0.7688467965725352
S022,T0,2.5751417397151186e-11,1.1283436314597374e-11,1.3333907186011666,3.0258213630248486e-11,1.2036997566325474e-11,1.2700838294379986,2.5758715724967854e-11,1.0657005300173538e-11,1.31032095562652,0.8532831414125019,0.6537504145551468,0.7308290296113995,0.4476117091225637,0.8385187373180453,0.7456848984017902,,
S022,T1,2.624003404236337e-11,1.1185268542353453e-11,1.3339033872289436,3.143555488667027e-11,1.2200569447389086e-11,1.3271355343141444,2.6719502234237396e-11,1.1239131935952067e-11,1.3169750656052326,0.8299053672255812,0.780743899093357,0.6939030733978244,0.6212303103569106,0.8906733342409052,0.81787657840933,-0.7063493726474862,-0.7101264944337334
S022,T2,2.490038283039324e-11,1.0956177688970995e-11,1.3707126847088504,3.192561151518558e-11,1.216711513986769e-11,1.3078338249673267,2.7854037596943016e-11,1.1306204912250723e-11,1.3549063412643776,0.6888203998470259,0.7345339210878735,0.5744393669204253,0.5225444203261644,0.8306191285857023,0.7718809643187053,-0.7063493726474862,-0.7101264944337334
S023,T0,7.60137562649584e-11,2.5281188738166353e-11,1.528459325592017,7.778409568542767e-11,2.43724891564005e-11,1.4276172189808305,6.010365261699189e-11,2.076903373418607e-11,1.5317206281462088,0.8407078482245212,0.7845220490627496,0.3565120874271016,0.48232401178011924,0.5976654863613442,0.6208595851926162,,
S023,T1,5.4281618123039836e-11,1.782162974548686e-11,1.4376182735322747,5.6522055311951296e-11,1.8888868167737214e-11,1.3521791272816759,4.2091288744842893e-11,1.604840148391268e-11,1.5438840556207851,0.8852194339362442,0.8303940058584506,0.5355128398282604,0.6159636816000791,0.7377613294184229,0.7878818414416003,-0.7567080529468017,-0.770143807977949
S023,T2,6.061513731490661e-11,1.865383062980287e-11,1.5837639156659913,7.20219390016188e-11,1.9408444937594798e-11,1.5432551232124443,5.844905777420307e-11,1.6713165127111492e-11,1.5621426932694702,0.8503977440042361,0.8518447075289383,0.6733433927952797,0.6980673082624714,0.8181304880814896,0.8356487009445995,-0.7567080529468017,-0.770143807977949
S024,T0,1.284090574613576e-11,1.2688523494341885e-11,1.7534052048706599,1.65608034111925e-11,9.466072867980994e-12,1.6815679344173051,1.1095998018246539e-11,1.0604037530279724e-11,1.741728866611374,0.8691400174882118,0.5299870789486679,0.7051276585743281,0.31671945832725334,0.8174142750405449,0.702751210503255,,
S024,T1,1.024832392825872e-11,1.2138491309275046e-11,1.7510526602801115,1.1910141657301985e-11,8.741529046271736e-12,1.67385003529052,8.662609534517549e-12,1.0239150438411128e-11,1.7437317262061485,0.7907332333675868,0.631616712682919,0.566416365691498,0.4827998830619292,0.7912131009402199,0.796268270233562,-0.7595452690870301,-0.7326773475141733
S024,T2,1.050737245797155e-11,1.1917813411470553e-11,1.684309163950418,1.2476045734096639e-11,8.435940031963402e-12,1.6445363937479969,8.627463357776541e-12,1.0240542758296392e-11,1.6786862943044298,0.7222172550081194,0.7420748853792867,0.6803929005342091,0.5602339918447872,0.7937339717489476,0.7874700694625808,-0.7595452690870301,-0.7326773475141733
S025,T0,9.70683227101792e-12,2.6164786551097012e-12,1.3111819582264992,9.76927219402166e-12,2.4598403680672922e-12,1.372567090494544,9.212190073397746e-12,2.585926006666164e-12,1.364700657118806,0.8955499890827825,0.7216000185495304,0.731990564567449,0.43258543870666255,0.7350842156417408,0.5848659327943571,,
S025,T1,7.0623843184790324e-12,2.2939448560650387e-12,1.3143501839983587,7.684902287099825e-12,2.055370566471881e-12,1.3332698928116702,6.591294701571735e-12,2.1073792956910492e-12,1.3544391948786727,0.8894374780756007,0.8207509535814851,0.8357196652417693,0.5932189532679963,0.8807508521015857,0.7219026708958655,-0.7534817062053858,-0.755214466781462
S025,T2,8.653220729775807e-12,2.2949910892394416e-12,1.3258115904613004,9.634123110451822e-12,2.131645074696904e-12,1.280199642757224,8.819637205479397e-12,2.2212493981437563e-12,1.3555021023727958,0.8819407964392374,0.7814853414020915,0.8489338540418743,0.5630272434084646,0.9268216965852554,0.7174733384780803,-0.7534817062053858,-0.755214466781462
S026,T0,2.4266130855507227e-12,1.2186558630587018e-12,1.5800188760935274,2.9655403087862782e-12,1.4708891089830905e-12,1.6127687815388432,2.2761416894198226e-12,1.6509787967494137e-12,1.6561809929818077,0.7913596794220137,0.7758199985673849,0.5436964299117125,0.4510777822966815,0.7243994168895636,0.6744063373078493,,
S026,T1,2.360200582085228e-12,1.1809853582514636e-12,1.656536618063845,2.7787414082343285e-12,1.382506482608876e-12,1.6970004054475996,2.100981825762023e-12,1.5846251277611395e-12,1.804940374591652,0.9214242371518109,0.7799320312424893,0.7985681644132323,0.47700926698412616,0.8961335633685739,0.6218311625184542,-0.7287334178032933,-1.1388009095675902
S026,T2,2.312230509965528e-12,1.1176904409175986e-12,1.6081904739759827,2.7158559658341698e-12,1.3165810797723287e-12,1.5629257095738756,2.2121526503099204e-12,1.6570838641948715e-12,1.4567237003928037,0.7890183391271843,0.8340305616397143,0.31381578395560855,0.608789533085,0.5144122141653712,0.7743102237428271,-0.7287334178032933,-1.1388009095675902
S027,T0,6.757620006584838e-11,9.789453886787018e-12,1.62013883026404,5.837085423145005e-11,7.945196981851231e-12,1.6444744478978535,4.3501836412778227e-11,9.298142563139774e-12,1.6269257027856727,0.7526240581045283,0.6967580157892207,0.6775498796409497,0.4233123394222785,0.8155902034979796,0.6307705573673041,,
S027,T1,3.60277102532352e-11,8.837484376645953e-12,1.3739974443138565,3.136473497724569e-11,6.764204830256573e-12,1.685400344407033,2.430005513515151e-11,8.052486894045424e-12,1.540306871689589,0.7508313385751848,0.6579845387174886,0.4344853116497486,0.3780500878065932,0.6028191549146471,0.5605154766829288,-0.7403195573571248,-0.7147027308936097
