Sujeto,Tipo,Tarea,Mu_C3,Beta_C3,Mu_C4,Beta_C4
S031,imaginacion,T1,8.1817230865114e-11,8.980219337003797e-12,6.040907883052281e-11,6.6630513200517086e-12
S032,real,T1,4.642771790066722e-11,1.1158553783703864e-11,4.5881150440785716e-11,1.1496769533574904e-11
S032,imaginacion,T1,2.0351104599614518e-11,1.0157569734802823e-11,1.8014962208904192e-11,1.0899800706959951e-11
S033,real,T1,6.5054125866284704e-12,3.0372317829191273e-12,4.892351859112792e-12,2.39921220615907e-12
S033,imaginacion,T1,2.481820140808158e-11,4.668295243426688e-12,7.003776222032612e-12,3.3543599839011692e-12
S034,real,T1,6.283050222208033e-12,6.182530358488283e-13,5.220299443722235e-12,4.2805589255175997e-13
S034,imaginacion,T1,1.014827526082707e-11,6.967399872227448e-13,5.666145382272849e-12,4.712545949211692e-13
S035,real,T1,1.2573711605424554e-11,1.65102127841176e-12,1.0908276459484583e-11,1.4948491666217e-12
S035,imaginacion,T1,1.1494858013264303e-11,1.6342690799517036e-12,1.020849778365361e-11,1.5163075258406867e-12
S036,real,T1,9.229642448118953e-11,2.963996378714737e-11,6.261357420579622e-11,2.390299685827101e-11
S036,imaginacion,T1,8.310919512216459e-11,2.7075575848674665e-11,5.933661724586175e-11,2.050536943269017e-11
S037,real,T1,1.5089319457358214e-12,9.665958092294195e-13,1.255197823735546e-12,7.278948666441435e-13
S037,imaginacion,T1,1.6176137796460023e-12,1.3163687282399478e-12,1.267325059372455e-12,8.907971543546986e-13
S038,real,T1,2.6030620015115545e-11,8.481899390740969e-12,1.62592065618613e-11,4.912211032568283e-12
S038,imaginacion,T1,2.393088764741036e-11,8.637590341887239e-12,1.5235088583167836e-11,5.009151614666737e-12
S039,real,T1,5.3993970047392993e-11,1.7230803760983416e-11,5.3914451455651964e-11,1.505071099103802e-11
S039,imaginacion,T1,5.930445448876956e-11,1.4446169698937837e-11,6.640748590866063e-11,1.65308252279963e-11
S040,real,T1,1.2281219963925702e-11,4.330434670939599e-12,1.1952231616818636e-11,3.834006794877996e-12
S040,imaginacion,T1,1.2216404945858058e-11,4.218354669972665e-12,1.1132325395072792e-11,3.860946399229781e-12
S041,real,T1,2.5689044302758793e-12,7.489419593002759e-13,1.9914421124431025e-12,5.591606164552598e-13
S041,imaginacion,T1,2.5553562359802907e-12,8.545596185324417e-13,1.8156710458738806e-12,6.855648126570214e-13
S042,real,T1,9.142183124006969e-12,1.822868104992803e-12,6.2110351809208896e-12,1.4794025571260073e-12
S042,imaginacion,T1,1.4172463494082927e-11,2.463131320984396e-12,8.725252560934516e-12,1.8149355491255455e-12
S043,real,T1,2.973821604353739e-11,1.0696064985911159e-11,2.21046253593041e-11,8.669127083149377e-12
S043,imaginacion,T1,3.301374249210028e-11,1.1974786193020173e-11,2.1572458303261896e-11,8.97262599362599e-12
S044,real,T1,1.3521137199036733e-10,1.3495591610577364e-11,1.2126916673307748e-10,1.0781219896922307e-11
S044,imaginacion,T1,1.7117369402925227e-10,1.3345138462120182e-11,1.4860519452126236e-10,1.1016317629462916e-11
S045,real,T1,5.3356434678702145e-11,1.5940748433076676e-11,3.276483400708282e-11,1.1858572831887252e-11
S045,imaginacion,T1,5.944960025417793e-11,1.778350424408853e-11,3.375978262946113e-11,1.1488666809575722e-11
S046,real,T1,3.881652160985487e-11,1.054934009528453e-11,3.658158530486247e-11,9.577455473483067e-12
S046,imaginacion,T1,2.8028471394187036e-11,8.389680502111982e-12,2.6016464745867807e-11,8.579714238838943e-12
S047,real,T1,6.009898038828248e-12,1.3357067825414625e-12,3.662592879314659e-12,8.863948792501798e-13
S047,imaginacion,T1,6.4775787510474534e-12,1.3941993551057357e-12,4.1341589444368546e-12,9.739360242306929e-13
S048,real,T1,2.699849424723803e-10,2.2010612749632047e-11,2.333680456716329e-10,1.8225734407981263e-11
S048,imaginacion,T1,3.4602945050763394e-10,2.6840135999457556e-11,2.997063960663252e-10,2.0951170824532697e-11
S049,real,T1,2.810043906834226e-11,3.0869780024115257e-11,1.7506917213492495e-11,1.561152385692465e-11
S049,imaginacion,T1,2.9290307710638825e-11,3.244696503754496e-11,2.1952664261558716e-11,1.8319679902836968e-11
S050,real,T1,8.217630291800713e-12,3.203734838183318e-12,6.09288458947857e-12,2.8521378258164846e-12
S050,imaginacion,T1,7.63025734731872e-12,3.2432835652813204e-12,5.075706660521805e-12,2.807757537511359e-12
S051,real,T1,4.886487271573537e-13,2.29003399587428e-13,3.9605402228933167e-13,1.6219325256127803e-13
S051,imaginacion,T1,5.243188368669268e-13,2.3045189555237044e-13,3.9933952131928717e-13,1.7368791051077274e-13
S052,real,T1,6.146730517461975e-11,1.0602587741453244e-11,4.7351885127078186e-11,7.520246645782512e-12
S052,imaginacion,T1,1.0152033558619993e-10,1.367783284762904e-11,5.4847202103124074e-11,7.820388809356379e-12
S053,real,T1,4.854546222801609e-11,1.776161304585132e-11,2.701995394015539e-11,1.3452694947837592e-11
S053,imaginacion,T1,4.93034928047281e-11,1.6955753678140066e-11,2.6090830161927847e-11,1.1772207950263178e-11
S054,real,T1,1.1078127494406557e-10,1.0506761830349319e-11,9.245822901704958e-11,9.2728268051009e-12
S054,imaginacion,T1,1.4011584387989124e-10,1.2146377292284818e-11,1.1476150628942236e-10,9.024659272714373e-12
S055,real,T1,2.247034331751617e-12,3.093326991554343e-13,2.1804143916476646e-12,2.6303706367023285e-13
S055,imaginacion,T1,2.436909979120883e-12,3.3050303240055783e-13,2.0602328828588532e-12,2.8255051868287583e-13
S056,real,T1,1.4941614302590204e-10,1.787174837263599e-11,1.066225162310414e-10,1.4358570129465099e-11
S056,imaginacion,T1,1.868283714284237e-10,1.9914855134681667e-11,1.1078867932736007e-10,1.506733405181221e-11
S057,real,T1,3.018031548127441e-11,1.331822142433416e-11,2.3868888615795035e-11,9.854235538035048e-12
S057,imaginacion,T1,3.292515805953788e-11,1.4116966842478425e-11,2.350945934672281e-11,1.0636891864187274e-11
S058,real,T1,1.5055336163177645e-11,1.3349145910535059e-11,1.0388331275526597e-11,1.018649065164385e-11
S058,imaginacion,T1,1.4082621041682126e-11,9.759891265599451e-12,1.1023705056635723e-11,8.73997343834087e-12
S059,real,T1,3.5151279637591505e-11,1.2932489267913363e-11,2.6383015001144488e-11,8.726303801520956e-12
S059,imaginacion,T1,6.425101098940928e-11,1.549306384813901e-11,3.8163243169851514e-11,9.110491240142213e-12
S060,real,T1,4.5843679953735386e-11,1.2536930913098069e-11,3.314263359396797e-11,9.593814508911499e-12
S060,imaginacion,T1,6.640695671233709e-11,1.4833426376156512e-11,3.761103484849968e-11,9.993360384522055e-12
S061,real,T1,8.573450177723471e-11,1.7660418096309378e-11,8.217595719595763e-11,1.7756730262232802e-11
S061,imaginacion,T1,1.1292808432312798e-10,2.4620482966966738e-11,1.099072773474139e-10,2.3692540418194843e-11
S062,real,T1,8.396952484519732e-12,1.7424954084355625e-12,8.516762283294845e-12,1.4688544207879782e-12
S062,imaginacion,T1,1.2160433525645882e-11,2.049508347363146e-12,1.1373753893396852e-11,1.7680484317272348e-12
S063,real,T1,9.265855955808114e-12,4.446423679904519e-12,7.209487637993146e-12,3.297048564581498e-12
S063,imaginacion,T1,8.945485057183842e-12,6.490234022357533e-12,6.381231976335963e-12,4.622720932732927e-12
S064,real,T1,3.0779377884810136e-12,9.190928003326307e-13,2.4334572455970986e-12,7.773751194854171e-13
S064,imaginacion,T1,2.7018698142461152e-12,8.147611872191507e-13,2.1816540222909883e-12,6.435944745044548e-13
S065,real,T1,4.8451791392679334e-11,8.347709558216572e-12,4.003162485301025e-11,7.067522228111918e-12
S065,imaginacion,T1,4.7929304069401134e-11,8.865466955745133e-12,3.567098388901925e-11,7.570400406529574e-12
S066,real,T1,3.18883316223404e-11,6.058697931570475e-12,1.5776359061101607e-11,3.4521757654586287e-12
S066,imaginacion,T1,3.1049729274125475e-11,5.338639797581653e-12,1.9799565842118496e-11,3.3642456865355456e-12
S067,real,T1,1.763501998186932e-12,2.362952297669422e-12,1.5988452363385745e-12,2.2526582981395295e-12
S067,imaginacion,T1,1.866336334901653e-12,1.8581731950938857e-12,1.2947957889562219e-12,1.3480727105001482e-12
S068,real,T1,3.962293270108322e-11,1.2887030843008605e-11,2.2089072590378974e-11,9.468252448871596e-12
S068,imaginacion,T1,3.873450884108361e-11,1.0978032417925203e-11,2.3700169868869676e-11,7.386124624018131e-12
S069,real,T1,1.3041192713895952e-11,5.395642320551599e-12,1.1594106143682818e-11,4.506156902557224e-12
S069,imaginacion,T1,1.9044476128286002e-11,6.207256207650419e-12,1.4344478883984521e-11,4.428307146731401e-12
S070,real,T1,6.837375328792806e-11,1.4170430358715173e-11,4.6419719343107997e-11,9.209113016010431e-12
S070,imaginacion,T1,7.000750527979327e-11,1.62796959224092e-11,5.0359215134348427e-11,1.0098707471148436e-11
S071,real,T1,4.070568924947957e-11,1.0602708043980376e-11,2.909713005657428e-11,8.372651806129189e-12
S071,imaginacion,T1,3.98367386377734e-11,1.1060032694323148e-11,2.8228982480151426e-11,8.105453116248303e-12
S072,real,T1,1.3734253813952422e-12,3.807531494647317e-13,1.150169301080928e-12,3.0679280269933767e-13
S072,imaginacion,T1,2.1447417133770128e-12,4.120083424626286e-13,1.3133856971742849e-12,3.2171474566120294e-13
S073,real,T1,3.9077322605524e-12,1.2946528050234553e-12,2.5852424550670715e-12,9.80136266019776e-13
S073,imaginacion,T1,4.853689294139265e-12,1.3864032017473044e-12,3.072293206991112e-12,1.0908119457222027e-12
S074,real,T1,4.292690036649869e-12,3.450903032433952e-12,3.469587220307449e-12,1.9990156229001123e-12
S074,imaginacion,T1,4.3402296222350435e-12,2.722630313437642e-12,3.740046590562896e-12,2.27210703618477e-12
S075,real,T1,1.0212680045160379e-10,2.133039684214997e-11,7.333401462066227e-11,1.3364851517130698e-11
S075,imaginacion,T1,1.33759644699998e-10,2.3649212194187707e-11,9.788328894736006e-11,1.4614351368863332e-11
S076,real,T1,2.8970580942667347e-12,2.2570741443291233e-12,2.638086161847451e-12,1.9312073804305057e-12
S076,imaginacion,T1,2.579873533654798e-12,2.3958518918541665e-12,2.2907986874384614e-12,2.1301512684114435e-12
S077,real,T1,4.4366070321200427e-11,1.216251611794871e-11,3.7052532984832466e-11,9.580087398117847e-12
S077,imaginacion,T1,6.152289323621999e-11,1.4215727592083488e-11,5.350600875068713e-11,1.2952054745232425e-11
S078,real,T1,1.9609887762662434e-11,4.378686164827456e-12,2.122261390034373e-11,2.2158895488921635e-12
S078,imaginacion,T1,2.0283492460958203e-11,2.2500896691985926e-12,2.1800922695339523e-11,1.9625950470914214e-12
S079,real,T1,8.837890597384048e-11,2.6401920520127696e-11,6.733164963411299e-11,1.803575969369788e-11
S079,imaginacion,T1,8.461870035576716e-11,2.5729255004978627e-11,6.102370004450776e-11,1.8541884474095776e-11
S080,real,T1,1.861961939061169e-11,6.569320423718659e-12,1.2486148777699107e-11,4.1539306726819086e-12
S080,imaginacion,T1,1.6852006284387945e-11,6.291455294080564e-12,1.1095573774516152e-11,3.849416322935481e-12
S081,real,T1,7.905984638022437e-12,1.6092206732312739e-12,7.632061517283058e-12,1.4377663151622773e-12
S081,imaginacion,T1,8.998712737281949e-12,2.20999380000384e-12,8.357123405929542e-12,1.862688969805385e-12
S082,real,T1,4.226348356926591e-11,6.580440451775692e-12,4.1080824951886283e-11,5.9689778683275495e-12
S082,imaginacion,T1,3.831938578611796e-11,5.7714461437035846e-12,4.1703426989222815e-11,6.101161266822382e-12
S083,real,T1,7.185413418999314e-11,1.8572044776606287e-11,5.2713533455248526e-11,1.160108001045692e-11
S083,imaginacion,T1,7.008726527728061e-11,2.2913673159478366e-11,5.2717047223985544e-11,1.4221833045472015e-11
S084,real,T1,4.65669992178666e-11,7.904105692770947e-12,3.745405655071369e-11,6.429085628874197e-12
S084,imaginacion,T1,6.555414216023248e-11,8.212510259350115e-12,4.629711527146473e-11,5.948691794384394e-12
S085,real,T1,9.360110640364194e-12,2.975398079070085e-12,1.1287939978796353e-11,3.419732332095693e-12
S085,imaginacion,T1,1.8074665026729133e-11,3.498553748362409e-12,1.6717348063892945e-11,3.830556489457395e-12
S086,real,T1,2.4252957496224982e-11,1.0852110390863472e-11,2.221165300296095e-11,8.102439371795334e-12
S086,imaginacion,T1,3.114281032126745e-11,1.0297603321715353e-11,2.9002528809243206e-11,9.082514450673803e-12
S087,real,T1,5.3175196464532596e-11,1.654999050886773e-11,3.764690504451816e-11,1.3084674757778792e-11
S087,imaginacion,T1,5.566402662085174e-11,1.7347988998781517e-11,4.532472265342462e-11,1.5154083083772896e-11
S088,real,T1,3.061318002696169e-11,7.450787940470042e-12,2.1468890994352583e-11,5.721144321603966e-12
S088,imaginacion,T1,2.4821540662475348e-11,9.010457323949083e-12,1.950237238809939e-11,7.167975322640454e-12
S089,real,T1,1.1307679125830303e-12,4.4953098588460347e-13,8.874968999548495e-13,3.0325321540819516e-13
S089,imaginacion,T1,1.2357300924159102e-12,4.311512771121037e-13,9.178530131422588e-13,2.9730264081073634e-13
S090,real,T1,3.8738075251530076e-11,9.641072069336019e-12,2.981405365543349e-11,5.981315504746655e-12
S090,imaginacion,T1,4.635284098497586e-11,1.2586848445751794e-11,4.51232369572844e-11,7.443977121594572e-12
S091,real,T1,5.223140079299805e-11,2.8897994886035855e-11,3.4326146270817495e-11,1.6356675643398085e-11
S091,imaginacion,T1,5.6773999183177896e-11,2.4811837669471824e-11,3.5491263936351817e-11,1.7046054463124058e-11
S092,real,T1,9.755026023394721e-11,1.81229550745228e-11,6.139428509208162e-11,8.577095214099342e-12
S092,imaginacion,T1,1.3381346437069237e-10,1.8917189203087743e-11,1.0287932447751015e-10,9.013729100647365e-12
S093,real,T1,9.20677357083525e-12,2.0914186124477042e-12,6.620151627792767e-12,1.4819611131489399e-12
S093,imaginacion,T1,1.0955506143128256e-11,2.023245530712784e-12,7.784396634284513e-12,1.4855031659221751e-12
S094,real,T1,3.6663729226905504e-11,8.745842817843636e-12,4.5635922489580864e-11,1.1844779970845675e-11
S094,imaginacion,T1,5.909813312488523e-11,1.1814339299316586e-11,8.900409047675422e-11,1.701809286848676e-11
S095,real,T1,7.530702012100584e-11,2.126173987820163e-11,7.277509972557821e-11,1.9318486515170408e-11
S095,imaginacion,T1,6.561085236103799e-11,2.3552782329954426e-11,6.23709350514009e-11,2.2943748867178368e-11
S096,real,T1,6.602685993982739e-11,2.3989997125848813e-11,7.319809559201479e-11,2.3336051137246598e-11
S096,imaginacion,T1,6.527664507600218e-11,2.7746818329795307e-11,6.996299845124253e-11,2.995268224533648e-11
S097,real,T1,4.524808429171983e-11,1.1931194337007202e-11,3.1586189048216825e-11,8.564675223322528e-12
S097,imaginacion,T1,3.9912928087916224e-11,1.2291358706459648e-11,2.5421764252293077e-11,8.785245341967617e-12
S098,real,T1,1.0749386611121021e-11,1.227619192573897e-12,1.1052136071480634e-11,1.0399465618429073e-12
S098,imaginacion,T1,1.539865158123199e-11,1.4138959232015687e-12,1.4945891157451213e-11,1.0711282520061716e-12
S099,real,T1,1.1301441019298269e-10,3.17152211640817e-11,5.6463049343749994e-11,1.536924065634305e-11
S099,imaginacion,T1,1.0648485498969255e-10,3.971859394837563e-11,5.692804529288522e-11,1.911146071087368e-11
S100,real,T1,3.225634886757458e-11,6.6317596110117145e-12,2.291937806533464e-11,4.5672938434063545e-12
S100,imaginacion,T1,5.5157099978772335e-11,8.460021742330564e-12,4.065228984240994e-11,6.2700410387395984e-12
S101,real,T1,2.6905843734017033e-11,9.81114796401761e-12,1.8578204719808012e-11,7.515949488550843e-12
S101,imaginacion,T1,2.7905116607017702e-11,1.1587393790317814e-11,2.090154117807757e-11,9.349912607567043e-12
S102,real,T1,3.7434588999797386e-12,1.0848756721472847e-12,2.6696961116322096e-12,7.863032299542216e-13
S102,imaginacion,T1,3.889875348775881e-12,1.0328342155786263e-12,2.9408829646474756e-12,7.999126010517479e-13
S103,real,T1,1.231488605792153e-10,2.1165307426818968e-11,9.251573971410418e-11,1.3634471743138936e-11
S103,imaginacion,T1,1.0947354382568526e-10,2.1709759564641427e-11,8.330269858005156e-11,1.4795090931242854e-11
S104,real,T1,3.3318269135322415e-11,5.576566553770666e-12,3.410817187032966e-11,5.0155130130730496e-12
S104,imaginacion,T1,1.7782292190489462e-11,3.658031285024197e-12,1.9121017031354436e-11,3.85460478022172e-12
S105,real,T1,2.2564498470487262e-11,3.4385209600612295e-12,1.5550684973099568e-11,2.722755717343549e-12
S105,imaginacion,T1,1.938552387386086e-11,3.3234141680339654e-12,1.565808977547805e-11,2.9053434370335495e-12
S106,real,T1,4.780616605347857e-11,7.761680777993661e-12,5.164901280053729e-11,7.341358824441696e-12
S106,imaginacion,T1,4.117327647346959e-11,7.569097333822008e-12,5.4748566406699915e-11,7.164842662523452e-12
S107,real,T1,1.009404469804077e-10,1.6493500346725333e-11,6.306189952975934e-11,1.0211371179825129e-11
S107,imaginacion,T1,9.30894672775206e-11,1.4067524680022424e-11,5.987703715123735e-11,9.479532217683599e-12
S108,real,T1,3.673759128901032e-11,8.142304964371284e-12,3.01738014548081e-11,5.743263188471808e-12
S108,imaginacion,T1,5.0739212277180644e-11,1.0769040977691757e-11,3.5672901426316343e-11,7.408967329557952e-12
S109,real,T1,1.2841786526617055e-11,4.715408475099536e-12,1.892356334439e-09,5.644043050154761e-10
S109,imaginacion,T1,1.6015811887681264e-11,4.580453050386986e-12,1.880314924366392e-09,4.953901096830064e-10
